Title,Directors,genres,Actors
"So Long, My Son",Wang Xiaoshuai,"Drama, Family Relationships, 1970s, 1980s, 1990s","Ai Liya, Du Jiang, Zhao Yanguozhang, Li Jingjing, Qi Xi, Xu Cheng, Wang Jingchun, Roy Wang, Yong Mei"
Stray Dog,Akira Kurosawa,"Film noir, Thriller, Crime, Yakuza & Triad, Buddy Film","Toshirô Mifune, Takashi Shimura, Keiko Awaji, Eiko Miyoshi, Noriko Sengoku, Noriko Honma, Reikichi Kawamura, Eijirô Tono, Yasushi Nagata, Isao Kimura, Minoru Chiaki, Teruko Kishi, Ichiro Sugai"
3 Idiots,Rajkumar Hirani,"Comedy, Romance, Drama, Musical, Schools & University, Education, Friendship","Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Rahul Kumar, Parikshat Sahni, Amardeep Jha, Farida Dadi, Ali Fazal, Achyut Potdar"
The Naked City,Jules Dassin,"Film noir, Thriller, Crime, Cop Movies","Barry Fitzgerald, Howard Duff, Dorothy Hart, Don Taylor, Frank Conroy, Ted de Corsia, House Jameson, Anne Sargent, Enid Markey, Tom Pedi, Adelaide Klein, Grover Burgess, ""Arthur OConnell"""
The Return,Andrey Zvyagintsev,"Drama, Family Relationships, Teen/coming-of-age, Road Movie","Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Natalia Vdovina, Galina Popova, Aleksey Suknovalov, Lazar Dubovik, Elizaveta Aleksandrova"
Close,Lukas Dhont,"Drama, Friendship, Childhood, Teen/coming-of-age","Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker, Igor van Dessel, Kevin Janssens, Marc Weiss"
Short Cuts,Robert Altman,"Drama, Ensemble Film","Madeleine Stowe, Julianne Moore, Jennifer Jason Leigh, Tim Robbins, Frances McDormand, Bruce Davison, Matthew Modine, Anne Archer, Chris Penn, Fred Ward, Lily Tomlin, Tom Waits, Peter Gallagher"
The Crimson Pirate,Robert Siodmak,"Adventure, Pirates, 18th Century, Sea Adventures","Burt Lancaster, Eva Bartok, Nick Cravat, Torin Thatcher, James Hayter, Leslie Bradley, Noel Purcell, Margot Grahame, Christopher Lee"
Repulsion,Roman Polanski,"Horror, Thriller, Drama, Psychological Drama, Surrealism","Catherine Deneuve, Ian Hendry, Patrick Wymark, John Fraser, Yvonne Furneaux, Valerie Taylor, James Villiers, Helen Fraser, Renee Houston"
Head-On,Fatih Akin,"Drama, Immigration","Birol Ünel, Sibel Kekilli, Catrin Striebeck, Güven Kiraç, Meltem Cumbul, Cem Akin, Aysel Iscan, Demir Gökgöl, Hermann Lause, Stefan Gebelhoff"
Léolo,Jean-Claude Lauzon,"Drama, Childhood, Cult Movie","Maxime Collin, Gilbert Sicotte, Ginette Reno, Julien Guiomar, Giuditta Del Vecchio, Denys Arcand, Pierre Bourgault, Andrée Lachapelle, Yves Montmarquette, Lorne Brass, Roland Blouin, Geneviève Samson, Marie-Hélène Montpetit, Francis St-Onge"
Straw Dogs,Sam Peckinpah,"Drama, Thriller, Small Town Life (Non-North American), Revenge, Home Invasion, Cult Movie","Dustin Hoffman, Susan George, David Warner, Peter Vaughan, T.P. McKenna, Del Henney, Sally Thomsett, Peter Arne, Colin Welland, Donald Webster, Jim Norton, Ken Hutchison, Len Jones"
